team,relief_ip_3d,pen_fatigue,as_of,lookback_days,pen_w
Arizona Diamondbacks,10.33,1.1478,2026-06-25,3,0.3
Athletics,11.33,1.2589,2026-06-25,3,0.3
Atlanta Braves,11.33,1.2589,2026-06-25,3,0.3
Baltimore Orioles,9.67,1.0744,2026-06-25,3,0.3
Boston Red Sox,9.0,1.0,2026-06-25,3,0.3
Chicago Cubs,17.0,1.8889,2026-06-25,3,0.3
Chicago White Sox,14.33,1.5922,2026-06-25,3,0.3
Cincinnati Reds,11.33,1.2589,2026-06-25,3,0.3
Cleveland Guardians,8.0,0.8889,2026-06-25,3,0.3
Colorado Rockies,10.0,1.1111,2026-06-25,3,0.3
Detroit Tigers,12.33,1.37,2026-06-25,3,0.3
Houston Astros,17.33,1.9256,2026-06-25,3,0.3
Kansas City Royals,12.0,1.3333,2026-06-25,3,0.3
Los Angeles Angels,14.33,1.5922,2026-06-25,3,0.3
Los Angeles Dodgers,13.0,1.4444,2026-06-25,3,0.3
Miami Marlins,9.67,1.0744,2026-06-25,3,0.3
Milwaukee Brewers,11.67,1.2967,2026-06-25,3,0.3
Minnesota Twins,13.0,1.4444,2026-06-25,3,0.3
New York Mets,18.67,2.0744,2026-06-25,3,0.3
New York Yankees,13.33,1.4811,2026-06-25,3,0.3
Philadelphia Phillies,17.33,1.9256,2026-06-25,3,0.3
Pittsburgh Pirates,9.67,1.0744,2026-06-25,3,0.3
San Diego Padres,14.33,1.5922,2026-06-25,3,0.3
San Francisco Giants,7.33,0.8144,2026-06-25,3,0.3
Seattle Mariners,9.33,1.0367,2026-06-25,3,0.3
St. Louis Cardinals,9.33,1.0367,2026-06-25,3,0.3
Tampa Bay Rays,17.67,1.9633,2026-06-25,3,0.3
Texas Rangers,18.0,2.0,2026-06-25,3,0.3
Toronto Blue Jays,17.0,1.8889,2026-06-25,3,0.3
Washington Nationals,18.33,2.0367,2026-06-25,3,0.3
