team,att,dfn,rpg_for,rpg_against,avg_runs,home_adv,lg_ra9,att_model,dfn_model,rpg_for_model,rpg_against_model
Los Angeles Dodgers,1.0727,0.9283,4.81,4.16,4.482,1.0,4.32,1.0727,0.9283,4.81,4.16
Milwaukee Brewers,1.0709,0.9302,4.8,4.17,4.482,1.0,4.32,1.0723,0.9288,4.81,4.16
New York Yankees,1.0574,0.9436,4.74,4.23,4.482,1.0,4.32,1.0597,0.9413,4.75,4.22
Atlanta Braves,1.042,0.9591,4.67,4.3,4.482,1.0,4.32,1.0383,0.9628,4.65,4.31
Philadelphia Phillies,1.0315,0.9695,4.62,4.35,4.482,1.0,4.32,1.0324,0.9686,4.63,4.34
Chicago Cubs,1.0227,0.9783,4.58,4.38,4.482,1.0,4.32,1.0241,0.9769,4.59,4.38
Tampa Bay Rays,1.0204,0.9807,4.57,4.4,4.482,1.0,4.32,1.019,0.9821,4.57,4.4
San Diego Padres,1.0138,0.9872,4.54,4.42,4.482,1.0,4.32,1.0161,0.9849,4.55,4.41
St. Louis Cardinals,1.0116,0.9894,4.53,4.43,4.482,1.0,4.32,1.0107,0.9903,4.53,4.44
Seattle Mariners,1.0106,0.9904,4.53,4.44,4.482,1.0,4.32,1.01,0.991,4.53,4.44
Cleveland Guardians,1.0102,0.9908,4.53,4.44,4.482,1.0,4.32,1.0102,0.9908,4.53,4.44
Miami Marlins,1.0057,0.9953,4.51,4.46,4.482,1.0,4.32,1.0062,0.9948,4.51,4.46
Toronto Blue Jays,1.0022,0.9988,4.49,4.48,4.482,1.0,4.32,1.0034,0.9976,4.5,4.47
Arizona Diamondbacks,1.0008,1.0003,4.49,4.48,4.482,1.0,4.32,1.0017,0.9994,4.49,4.48
Pittsburgh Pirates,0.9961,1.0049,4.46,4.5,4.482,1.0,4.32,0.9949,1.0061,4.46,4.51
Washington Nationals,0.9935,1.0075,4.45,4.52,4.482,1.0,4.32,0.9923,1.0087,4.45,4.52
Chicago White Sox,0.9926,1.0085,4.45,4.52,4.482,1.0,4.32,0.9905,1.0106,4.44,4.53
Houston Astros,0.9919,1.0091,4.45,4.52,4.482,1.0,4.32,0.9933,1.0077,4.45,4.52
Texas Rangers,0.99,1.011,4.44,4.53,4.482,1.0,4.32,0.99,1.011,4.44,4.53
Cincinnati Reds,0.9829,1.0181,4.41,4.56,4.482,1.0,4.32,0.9829,1.0181,4.4,4.56
Baltimore Orioles,0.9829,1.0181,4.41,4.56,4.482,1.0,4.32,0.9829,1.0181,4.4,4.56
Athletics,0.9801,1.0209,4.39,4.58,4.482,1.0,4.32,0.9789,1.0221,4.39,4.58
Boston Red Sox,0.9781,1.0229,4.38,4.58,4.482,1.0,4.32,0.9788,1.0222,4.39,4.58
Minnesota Twins,0.9767,1.0243,4.38,4.59,4.482,1.0,4.32,0.9765,1.0245,4.38,4.59
Detroit Tigers,0.976,1.025,4.37,4.59,4.482,1.0,4.32,0.976,1.025,4.37,4.59
San Francisco Giants,0.9729,1.0281,4.36,4.61,4.482,1.0,4.32,0.9729,1.0281,4.36,4.61
New York Mets,0.9723,1.0287,4.36,4.61,4.482,1.0,4.32,0.9718,1.0292,4.36,4.61
Kansas City Royals,0.9719,1.0291,4.36,4.61,4.482,1.0,4.32,0.9719,1.0291,4.36,4.61
Los Angeles Angels,0.9583,1.0427,4.3,4.67,4.482,1.0,4.32,0.9583,1.0427,4.29,4.67
Colorado Rockies,0.9263,1.0747,4.15,4.82,4.482,1.0,4.32,0.9263,1.0747,4.15,4.82
