bout,fighter_a,odds_a,fighter_b,odds_b,implied_a,implied_b,source
Fiziev vs Torres,Rafael Fiziev,-142,Manuel Torres,120,0.5635,0.4365,mmaoddsbreaker (opening)
Magomedov vs Pereira,Shara Magomedov,-300,Michel Pereira,250,0.7241,0.2759,mmaoddsbreaker (opening)
Sadykhov vs Camilo,Nazim Sadykhov,-160,Matheus Camilo,140,0.5963,0.4037,mmaoddsbreaker (opening)
Almabayev vs Johnson,Asu Almabayev,-400,Charles Johnson,330,0.7748,0.2252,mmaoddsbreaker (opening)
Aliskerov vs Ferreira,Ikram Aliskerov,-300,Brunno Ferreira,250,0.7241,0.2759,mmaoddsbreaker (opening)
Abus Magomedov vs Oleksiejczuk,Abus Magomedov,-190,Michal Oleksiejczuk,165,0.6345,0.3655,mmaoddsbreaker (opening)
Hasanov vs Nolan,Farman Hasanov,-110,Eric Nolan,-110,0.5,0.5,mmaoddsbreaker (opening)
Yakhyaev vs Walker,Abdul-Rakhman Yakhyaev,-500,Julius Walker,385,0.8017,0.1983,mmaoddsbreaker (opening)
Ruziboev vs Pulyaev,Nursulton Ruziboev,-250,Andrey Pulyaev,210,0.6889,0.3111,mmaoddsbreaker (opening)
Ofli vs Reyes,Kaan Ofli,130,Javier Reyes,-150,0.4202,0.5798,mmaoddsbreaker (opening)
Donchenko vs Berggren,Daniil Donchenko,-1200,Theodor Berggren,775,0.8898,0.1102,mmaoddsbreaker (opening)
Almakhan vs Matsumoto,Bekzat Almakhan,170,Jean Matsumoto,-200,0.3571,0.6429,mmaoddsbreaker (opening)
Abdullayev vs Nascimento,Tahir Abdullayev,100,Jefferson Nascimento,-120,0.4783,0.5217,bettingnews (prelim)
