team,games,xg_for,xg_against,xgf_pg,xga_pg
France,13,27.07,20.57,2.082,1.582
Argentina,13,37.03,18.77,2.848,1.444
England,12,19.23,13.22,1.602,1.102
Morocco,11,16.55,12.03,1.504,1.094
Netherlands,11,16.23,15.87,1.475,1.442
Spain,11,17.67,12.46,1.606,1.132
Croatia,10,18.99,18.92,1.899,1.892
Portugal,10,22.02,16.13,2.202,1.613
Canada,9,19.49,20.3,2.165,2.256
Switzerland,9,14.57,13.61,1.619,1.512
Brazil,9,23.12,11.73,2.569,1.303
Uruguay,9,18.18,15.35,2.02,1.705
Senegal,8,13.4,10.95,1.676,1.369
Germany,8,16.96,7.1,2.12,0.887
Belgium,7,8.09,8.16,1.155,1.166
Ecuador,7,11.74,10.35,1.677,1.479
United States,7,7.73,6.41,1.104,0.916
Cameroon,7,5.86,10.09,0.837,1.441
Poland,7,8.19,11.73,1.17,1.676
Denmark,7,7.06,8.15,1.009,1.165
DR Congo,7,23.92,17.37,3.418,2.481
Nigeria,7,13.67,8.85,1.953,1.265
South Africa,7,19.24,24.02,2.749,3.432
Ivory Coast,7,11.52,10.83,1.646,1.548
Tunisia,6,4.83,5.38,0.805,0.896
Ghana,6,7.06,10.56,1.177,1.761
Mexico,6,7.52,4.49,1.253,0.748
Costa Rica,6,1.71,13.82,0.285,2.303
Serbia,6,5.13,9.96,0.854,1.66
Colombia,6,9.35,3.75,1.559,0.624
Turkey,5,6.46,8.1,1.293,1.619
Cape Verde Islands,5,10.73,8.54,2.145,1.708
Mali,5,5.85,4.87,1.17,0.975
Guinea,5,5.39,4.69,1.079,0.937
Angola,5,6.67,5.14,1.333,1.027
Japan,4,7.38,7.81,1.846,1.953
Australia,4,1.58,6.44,0.395,1.61
South Korea,4,3.6,5.83,0.901,1.458
Slovenia,4,5.75,7.8,1.437,1.95
Italy,4,3.3,4.15,0.826,1.039
Austria,4,6.11,5.74,1.529,1.434
Georgia,4,4.22,10.39,1.054,2.597
Romania,4,3.76,5.66,0.939,1.415
Slovakia,4,3.85,6.19,0.962,1.548
Venezuela,4,10.06,9.84,2.515,2.46
Panama,4,3.22,5.25,0.806,1.312
Egypt,4,13.32,10.19,3.33,2.547
Namibia,4,3.71,5.35,0.926,1.338
Mauritania,4,3.73,5.94,0.933,1.485
Burkina Faso,4,4.85,4.06,1.213,1.016
Equatorial Guinea,4,4.16,6.35,1.04,1.587
Iran,3,3.83,3.77,1.277,1.257
Wales,3,2.22,4.97,0.74,1.657
Saudi Arabia,3,3.2,6.55,1.067,2.183
Qatar,3,1.41,3.77,0.469,1.257
Czech Republic,3,4.59,4.23,1.53,1.412
Hungary,3,3.33,3.76,1.111,1.254
Ukraine,3,2.98,2.5,0.995,0.834
Scotland,3,1.02,3.84,0.339,1.279
Albania,3,2.18,4.26,0.728,1.42
Jamaica,3,2.11,5.22,0.703,1.739
Bolivia,3,0.99,6.07,0.331,2.022
Peru,3,1.42,4.04,0.473,1.347
Chile,3,1.61,4.16,0.537,1.387
Paraguay,3,2.96,4.64,0.986,1.547
Mozambique,3,2.6,4.37,0.866,1.457
Gambia,3,2.56,5.53,0.853,1.842
Guinea-Bissau,3,1.92,3.46,0.638,1.152
Zambia,3,1.33,5.49,0.445,1.831
Algeria,3,3.88,3.78,1.294,1.262
Tanzania,3,0.46,3.76,0.154,1.252
